;3K引擎盛大挂过滤配置文件
;物品类型	物品名称	极品显示	自动捡取	显示名称
5	天尊项链	0	0	0
5	天尊手镯	0	0	0
5	天尊戒指	0	0	0
4	龙牙	0	0	0
4	怒斩	0	0	0
4	逍遥扇	0	0	0
3	天魔神甲	0	0	0
3	圣战宝甲	0	0	0
3	法神披风	0	0	0
3	霓裳羽衣	0	0	0
3	天尊道袍	0	0	0
3	天师长袍	0	0	0
7	布鞋	0	0	0
7	鹿皮靴	0	0	0
7	紫绸靴	0	0	0
7	避魂靴	0	0	0
7	兽皮腰带	0	0	0
7	铁腰带	0	0	0
7	青铜腰带	0	0	0
7	钢铁腰带	0	0	0
3	雷霆战甲(男)	0	0	0
3	雷霆战甲(女)	0	0	0
5	雷霆项链	0	0	0
5	雷霆护腕	0	0	0
5	雷霆战戒	0	0	0
7	雷霆腰带	0	0	0
7	雷霆战靴	0	0	0
3	烈焰魔衣(男)	0	0	0
3	烈焰魔衣(女)	0	0	0
5	烈焰项链	0	0	0
5	烈焰护腕	0	0	0
5	烈焰魔戒	0	0	0
7	烈焰腰带	0	0	0
7	烈焰魔靴	0	0	0
3	光芒道袍(男)	0	0	0
3	光芒道袍(女)	0	0	0
5	光芒项链	0	0	0
5	光芒护腕	0	0	0
5	光芒道戒	0	0	0
7	光芒腰带	0	0	0
7	光芒道靴	0	0	0
5	战神项链	0	0	0
5	战神手镯	0	0	0
5	战神戒指	0	0	0
5	圣魔项链	0	0	0
5	圣魔手镯	0	0	0
5	圣魔戒指	0	0	0
5	真魂项链	0	0	0
5	真魂戒指	0	0	0
5	真魂手镯	0	0	0
3	黄金头盔	0	0	0
4	天之裁决	0	0	0
4	天之骨玉权杖	0	0	0
4	天之龙纹	0	0	0
4	天之屠龙	0	0	0
4	天之嗜魂法杖	0	0	0
4	天之逍遥扇	0	0	0
4	天之龙牙	0	0	0
4	天之怒斩	0	0	0
4	天之血饮	0	0	0
3	天之黑铁头盔	0	0	0
3	天之圣战头盔	0	0	0
5	天之圣战项链	0	0	0
5	天之圣战手镯	0	0	0
5	天之圣战戒指	0	0	0
3	天之法神头盔	0	0	0
5	天之法神项链	0	0	0
5	天之法神手镯	0	0	0
5	天之法神戒指	0	0	0
3	天之天尊头盔	0	0	0
5	天之天尊项链	0	0	0
5	天之天尊手镯	0	0	0
5	天之天尊戒指	0	0	0
1	雷霆套男	0	0	0
1	雷霆套女	0	0	0
1	光芒套男	0	0	0
1	光芒套女	0	0	0
1	烈焰套男	0	0	0
1	烈焰套女	0	0	0
1	武魂套男	0	0	0
1	武魂套女	0	0	0
1	灵玉套男	0	0	0
1	灵玉套女	0	0	0
1	伏魔套男	0	0	0
1	伏魔套女	0	0	0
7	荣誉勋章11号	0	0	0
7	荣誉勋章12号	0	0	0
7	荣誉勋章13号	0	0	0
7	荣誉勋章14号	0	0	0
7	荣誉勋章15号	0	0	0
7	荣誉勋章21号	0	0	0
7	荣誉勋章22号	0	0	0
7	荣誉勋章23号	0	0	0
7	荣誉勋章24号	0	0	0
7	荣誉勋章25号	0	0	0
7	荣誉勋章31号	0	0	0
7	荣誉勋章32号	0	0	0
7	荣誉勋章33号	0	0	0
7	荣誉勋章34号	0	0	0
7	荣誉勋章35号	0	0	0
7	荣誉勋章41号	0	0	0
7	荣誉勋章42号	0	0	0
7	荣誉勋章43号	0	0	0
7	荣誉勋章44号	0	0	0
7	荣誉勋章45号	0	0	0
7	荣誉勋章51号	0	0	0
7	荣誉勋章52号	0	0	0
7	荣誉勋章53号	0	0	0
7	荣誉勋章54号	0	0	0
7	荣誉勋章55号	0	0	0
1	灭天火	0	0	0
1	狮子吼	0	0	0
1	寒冰掌	0	0	0
1	气功波	0	0	0
1	无极真气	0	0	0
3	天龙盔	0	0	0
3	魔龙盔	0	0	0
3	圣龙盔	0	0	0
4	龙骨刀	0	0	0
3	龙骨甲(男)	0	0	0
3	龙骨甲(女)	0	0	0
5	龙骨戒	0	0	0
5	龙骨镯	0	0	0
5	龙骨链	0	0	0
3	龙骨盔	0	0	0
1	镇魔红钻	0	0	0
1	镇魔绿钻	0	0	0
1	镇魔黄钻	0	0	0
1	镇魔紫钻	0	0	0
1	镇魔卷	0	0	0
1	镇魔神石	0	0	0
1	镇魔蓝钻	0	0	0
1	一心一意包	0	0	0
1	心心相印包	0	0	0
1	飞火流星包	0	0	0
1	浪漫星雨包	0	0	0
1	绮梦幻想包	0	0	0
1	长空火舞包	0	0	0
1	如雾似梦包	0	0	0
1	一心一意	0	0	0
1	心心相印	0	0	0
1	飞火流星	0	0	0
1	浪漫星雨	0	0	0
1	绮梦幻想	0	0	0
1	长空火舞	0	0	0
1	如雾似梦	0	0	0
1	庆典蛋糕	0	0	0
1	千里传音	0	0	0
1	千里传音(大)	0	0	0
1	个性发型	0	0	0
1	反璞归真	0	0	0
1	气血石(小)	0	0	0
1	气血石(中)	0	0	0
1	气血石(大)	0	0	0
1	幻魔石(小)	0	0	0
1	幻魔石(中)	0	0	0
1	幻魔石(大)	0	0	0
1	魔血石(小)	0	0	0
1	魔血石(中)	0	0	0
1	魔血石(大)	0	0	0
1	双倍卷轴	0	0	0
1	双倍秘籍	0	0	0
1	双倍宝典	0	0	0
2	修复神水	0	0	0
2	召唤强化卷	0	0	0
2	虎卫卷轴	0	0	0
2	太阳水捆药绳	0	0	0
2	雪霜捆药绳	0	0	0
2	疗伤药捆药绳	0	0	0
2	比奇传送石	0	0	0
2	盟重传送石	0	0	0
2	随机传送石	0	0	0
1	元宝练级卷	0	0	0
1	真视秘籍	0	0	0
2	祝福罐	0	0	0
2	魔令包	0	0	0
1	木箱钥匙	0	0	0
1	紫铜钥匙	0	0	0
1	白银钥匙	0	0	0
1	赤金钥匙	0	0	0
1	神秘钥匙	0	0	0
1	檀木宝箱	0	0	0
1	紫铜宝箱	0	0	0
1	白银宝箱	0	0	0
1	赤金宝箱	0	0	0
1	神秘宝箱	0	0	0
1	乾坤大挪移	0	0	0
1	黄金钥匙	0	0	0
2	火龙之心	0	0	0
1	弩牌	0	0	0
1	勋章之心	0	0	0
1	紫水晶矿	0	0	0
1	绿宝石矿	0	0	0
5	祈福项链	0	0	0
1	魔族指令书	0	0	0
2	火云石碎片	0	0	0
2	火云石	0	0	0
1	元宝	0	0	0
1	5元宝	0	0	0
1	10元宝	0	0	0
1	50元宝	0	0	0
1	100元宝	0	0	0
1	500元宝	0	0	0
1	灵符1	0	0	0
1	精致礼品盒	0	0	0
1	宝盒	0	0	0
1	战士英雄技能包	0	0	0
1	法师英雄技能包	0	0	0
1	方士英雄技能包	0	0	0
1	开天斩	0	0	0
1	宝藏钥匙	0	0	0
1	火龙珠	0	0	0
1	橙色夜明珠	0	0	0
1	红色夜明珠	0	0	0
1	黄色夜明珠	0	0	0
1	绿色夜明珠	0	0	0
1	蓝色夜明珠	0	0	0
3	斗笠	0	0	0
6	聚灵珠(小)	0	0	0
6	聚灵珠(大)	0	0	0
1	烧酒	0	0	0
3	斗笠11号	0	0	0
3	斗笠12号	0	0	0
3	斗笠13号	0	0	0
3	斗笠14号	0	0	0
3	斗笠15号	0	0	0
3	斗笠23号	0	0	0
3	斗笠24号	0	0	0
3	斗笠25号	0	0	0
3	斗笠33号	0	0	0
3	斗笠34号	0	0	0
3	斗笠35号	0	0	0
3	斗笠41号	0	0	0
3	斗笠42号	0	0	0
3	斗笠43号	0	0	0
3	斗笠44号	0	0	0
3	斗笠45号	0	0	0
1	锦囊	0	0	0
1	终生会员卡	0	0	0
2	风雷召唤令	0	0	0
1	祝福神品	0	0	0
1	祝福神品(大)	0	0	0
5	强化雷霆项链	0	0	0
5	强化雷霆护腕	0	0	0
5	强化雷霆战戒	0	0	0
7	强化雷霆战靴	0	0	0
7	强化雷霆腰带	0	0	0
5	强化烈焰项链	0	0	0
5	强化烈焰护腕	0	0	0
5	强化烈焰魔戒	0	0	0
7	强化烈焰魔靴	0	0	0
7	强化烈焰腰带	0	0	0
5	强化光芒项链	0	0	0
5	强化光芒护腕	0	0	0
5	强化光芒道戒	0	0	0
7	强化光芒道靴	0	0	0
7	强化光芒腰带	0	0	0
4	开天	0	0	0
4	镇天	0	0	0
4	玄天	0	0	0
3	凤天魔甲	0	0	0
3	凰天魔衣	0	0	0
3	星王战盔	0	0	0
3	星王法冠	0	0	0
3	星王道盔	0	0	0
7	星王腰带(战)	0	0	0
7	星王腰带(法)	0	0	0
7	星王腰带(道)	0	0	0
7	星王战靴	0	0	0
7	星王法靴	0	0	0
7	星王道靴	0	0	0
5	星王项链(战)	0	0	0
5	星王护腕(战)	0	0	0
5	星王战戒	0	0	0
5	星王项链(法)	0	0	0
5	星王护腕(法)	0	0	0
5	星王魔戒	0	0	0
5	星王项链(道)	0	0	0
5	星王道戒	0	0	0
5	星王护腕(道)	0	0	0
4	星王之刃(战)	0	0	0
4	星王之刃(道)	0	0	0
4	星王之刃(法)	0	0	0
3	星王战甲	0	0	0
3	星王战衣	0	0	0
3	星王魔袍	0	0	0
3	星王魔衣	0	0	0
3	星王神袍	0	0	0
3	星王神衣	0	0	0
7	银星勋章(战)	0	0	0
7	银星勋章(法)	0	0	0
7	银星勋章(道)	0	0	0
3	狂雷战盔	0	0	0
5	狂雷项链	0	0	0
5	狂雷战戒	0	0	0
5	狂雷护腕	0	0	0
7	狂雷腰带	0	0	0
7	狂雷战靴	0	0	0
3	逆火魔盔	0	0	0
5	逆火项链	0	0	0
5	逆火魔戒	0	0	0
5	逆火护腕	0	0	0
7	逆火腰带	0	0	0
7	逆火魔靴	0	0	0
3	通云道盔	0	0	0
5	通云项链	0	0	0
5	通云道戒	0	0	0
5	通云护腕	0	0	0
7	通云腰带	0	0	0
7	通云道靴	0	0	0
4	王者之刃	0	0	0
4	王者之杖	0	0	0
4	王者之剑	0	0	0
3	王者战甲	0	0	0
3	王者战衣	0	0	0
3	王者魔袍	0	0	0
3	王者魔衣	0	0	0
3	王者道袍	0	0	0
3	王者道衣	0	0	0
7	勇者勋章(战)	0	0	0
7	勇者勋章(法)	0	0	0
7	勇者勋章(道)	0	0	0
7	王者勋章(战)	0	0	0
7	王者勋章(法)	0	0	0
7	王者勋章(道)	0	0	0
1	忠诚度卷	0	0	0
5	武魂项链	0	0	0
5	武魂手镯	0	0	0
3	武魂头盔	0	0	0
5	武魂戒指	0	0	0
7	武魂战靴	0	0	0
7	武魂腰带	0	0	0
5	灵玉手镯	0	0	0
3	灵玉头盔	0	0	0
5	灵玉戒指	0	0	0
7	灵玉道靴	0	0	0
5	灵玉项链	0	0	0
7	灵玉腰带	0	0	0
7	伏魔腰带	0	0	0
5	伏魔项链	0	0	0
7	伏魔法靴	0	0	0
3	伏魔头盔	0	0	0
5	伏魔戒指	0	0	0
5	伏魔手镯	0	0	0
1	高粱酒	0	0	0
1	稻米烧酒	0	0	0
1	青稞酒	0	0	0
1	果露酒	0	0	0
1	粟米黄酒	0	0	0
1	红曲酒	0	0	0
1	花雕酒	0	0	0
1	虎骨酒	0	0	0
1	金箔酒	0	0	0
1	活脉酒	0	0	0
1	玄参酒	0	0	0
1	蛇胆酒	0	0	0
1	高粱米	0	0	0
1	稻米	0	0	0
1	青稞	0	0	0
1	果露	0	0	0
1	粟米	0	0	0
1	红曲酒酿	0	0	0
1	糯米	0	0	0
1	精制高粱米	0	0	0
1	精制稻米	0	0	0
1	精制青稞	0	0	0
1	精制果露	0	0	0
1	精制粟米	0	0	0
1	精制红曲酒酿	0	0	0
1	精制糯米	0	0	0
1	虎骨	0	0	0
1	金箔	0	0	0
1	透骨草	0	0	0
1	千年人参	0	0	0
1	蛇胆	0	0	0
1	清水	0	0	0
1	泉水	0	0	0
1	陶土酒坛	0	0	0
1	青花酒瓶	0	0	0
1	高粱酒曲	0	0	0
1	稻米酒曲	0	0	0
1	花雕酒曲	0	0	0
1	红曲	0	0	0
1	青稞酒曲	0	0	0
1	露酒曲	0	0	0
1	粟米酒曲	0	0	0
2	泉水罐	0	0	0
1	四级魔法盾	0	0	0
1	酒气护体	0	0	0
1	先天元力	0	0	0
1	狼烟梦境包	0	0	0
1	狼烟梦境	0	0	0
1	精制材料卷	0	0	0
1	英雄先天元力	0	0	0
1	白日门四级盾	0	0	0
1	英雄酒气护体	0	0	0
1	解毒术	0	0	0
1	擒龙手	0	0	0
1	分身术(主)	0	0	0
4	神之开天	0	0	0
4	神之镇天	0	0	0
4	神之玄天	0	0	0
3	城主战袍(男)	0	0	0
3	城主战袍(女)	0	0	0
1	怒之攻杀	0	0	0
1	静之攻杀	0	0	0
1	怒之半月	0	0	0
1	静之半月	0	0	0
1	怒之烈火	0	0	0
1	静之烈火	0	0	0
1	怒之逐日	0	0	0
1	静之逐日	0	0	0
1	怒之火球	0	0	0
1	静之火球	0	0	0
1	怒之大火球	0	0	0
1	静之大火球	0	0	0
1	怒之火墙	0	0	0
1	玛法内功心法	0	0	0
1	原质晶石	0	0	0
2	聚气丹	0	0	0
2	归元丹	0	0	0
2	精元丹	0	0	0
2	灵虚丹(中)	0	0	0
2	还虚丹	0	0	0
2	解读卷轴	0	0	0
1	绿宝石	0	0	0
1	无痕绿宝石	0	0	0
1	完美绿宝石	0	0	0
1	怒之地狱火	0	0	0
1	静之地狱火	0	0	0
1	怒之疾光电影	0	0	0
1	静之疾光电影	0	0	0
1	怒之爆裂火焰	0	0	0
1	静之爆裂火焰	0	0	0
1	怒之冰咆哮	0	0	0
1	静之冰咆哮	0	0	0
1	怒之雷电	0	0	0
1	静之雷电	0	0	0
1	怒之地狱雷光	0	0	0
1	静之地狱雷光	0	0	0
1	怒之寒冰掌	0	0	0
1	静之寒冰掌	0	0	0
1	怒之灭天火	0	0	0
1	静之灭天火	0	0	0
1	怒之火符	0	0	0
1	静之火符	0	0	0
1	怒之噬血	0	0	0
1	静之噬血	0	0	0
1	怒之流星火雨	0	0	0
1	静之流星火雨	0	0	0
1	怒之内功剑法	0	0	0
1	静之内功剑法	0	0	0
1	静之火墙	0	0	0
1	火龙凭证	0	0	0
7	金牛勋章(战)	0	0	0
7	金牛勋章(法)	0	0	0
7	金牛勋章(道)	0	0	0
3	金牛战盔	0	0	0
3	金牛魔盔	0	0	0
3	金牛道盔	0	0	0
7	金牛腰带(战)	0	0	0
7	金牛腰带(法)	0	0	0
7	金牛腰带(道)	0	0	0
7	金牛战靴	0	0	0
7	金牛魔靴	0	0	0
7	金牛道靴	0	0	0
5	金牛项链(战)	0	0	0
5	金牛项链(法)	0	0	0
5	金牛项链(道)	0	0	0
5	金牛护腕(战)	0	0	0
5	金牛护腕(法)	0	0	0
5	金牛护腕(道)	0	0	0
5	金牛战戒	0	0	0
5	金牛魔戒	0	0	0
5	金牛道戒	0	0	0
3	蒙面黑巾(战)	0	0	0
3	蒙面黑巾(法)	0	0	0
3	蒙面黑巾(道)	0	0	0
3	王者斗笠(法)	0	0	0
3	王者斗笠(道)	0	0	0
3	王者斗笠(战)	0	0	0
2	霹雳弹(小)	0	0	0
2	霹雳弹(大)	0	0	0
2	天雷弹(小)	0	0	0
1	金针碎片	0	0	0
1	金针	0	0	0
1	一级金针	0	0	0
1	二级金针	0	0	0
1	三级金针	0	0	0
1	四级金针	0	0	0
1	五级金针	0	0	0
1	幸运符	0	0	0
1	一级幸运符	0	0	0
1	二级幸运符	0	0	0
1	三级幸运符	0	0	0
1	四级幸运符	0	0	0
1	舒经活络丸	0	0	0
4	黄金裁决	0	0	0
4	紫金嗜魂法杖	0	0	0
4	赤金逍遥扇	0	0	0
5	疾风项链	0	0	0
5	疾风手镯	0	0	0
5	疾风戒指	0	0	0
5	怒血项链	0	0	0
5	怒血手镯	0	0	0
5	怒血戒指	0	0	0
5	神合项链	0	0	0
5	神合手镯	0	0	0
5	神合戒指	0	0	0
5	战意麻痹戒指	0	0	0
5	聚魔护身戒指	0	0	0
5	八卦护身戒指	0	0	0
5	涅槃复活戒指	0	0	0
3	炎龙战盔	0	0	0
3	雷龙魔盔	0	0	0
3	青龙道盔	0	0	0
5	炎龙项链	0	0	0
5	雷龙项链	0	0	0
5	青龙项链	0	0	0
5	炎龙护腕	0	0	0
5	雷龙护腕	0	0	0
5	青龙护腕	0	0	0
5	炎龙战戒	0	0	0
5	雷龙魔戒	0	0	0
5	青龙道戒	0	0	0
7	炎龙腰带	0	0	0
7	雷龙腰带	0	0	0
7	青龙腰带	0	0	0
7	炎龙战靴	0	0	0
7	雷龙魔靴	0	0	0
7	青龙道靴	0	0	0
1	普通军刀	0	0	0
1	指挥刀	0	0	0
1	统领佩剑	0	0	0
1	将军令牌	0	0	0
1	半兽人头骨	0	0	0
1	残破的古籍	0	0	0
1	微黄的古书	0	0	0
1	古代秘籍	0	0	0
1	牛魔毛发	0	0	0
1	剑神手札	0	0	0
1	蝎蛇的钳子	0	0	0
1	蛛王断肢	0	0	0
4	热血之刃	0	0	0
4	开天劈地斧	0	0	0
4	海啸一刀斩	0	0	0
3	海啸战袍(男)	0	0	0
3	海啸战袍(女)	0	0	0
3	热血战袍(女)	0	0	0
3	热血战袍(男)	0	0	0
6	内功珠(微)	0	0	0
6	内功珠(小)	0	0	0
6	内功珠(中)	0	0	0
6	内功珠(大)	0	0	0
5	流星火雨戒指	0	0	0
5	魔道麻痹戒指	0	0	0
4	金牛道剑	0	0	0
3	倚天战甲(男)	0	0	0
3	倚天战甲(女)	0	0	0
4	倚天	0	0	0
1	传音筒	0	0	0
3	必杀斗笠(法)	0	0	0
3	必杀斗笠(战)	0	0	0
3	必杀斗笠(道)	0	0	0
5	祝福项链(战)	0	0	0
5	祝福项链(法)	0	0	0
5	祝福项链(道)	0	0	0
3	必杀面巾(战)	0	0	0
3	必杀面巾(法)	0	0	0
3	必杀面巾(道)	0	0	0
3	金牛斗笠	0	0	0
1	四级基本剑术	0	0	0
1	白日门四级剑术	0	0	0
1	四级刺杀剑术	0	0	0
1	白日门四级刺杀	0	0	0
1	圆月弯刀	0	0	0
1	白日门圆月弯刀	0	0	0
1	四级雷电术	0	0	0
1	白日门四级雷电	0	0	0
1	四级流星火雨	0	0	0
1	白日门四级火雨	0	0	0
